frame,master,center_lon,center_lat
019D_06217_131313,20160914, 84.5489413, 27.8071684
019D_06418_131313,20160914, 84.2313856, 26.0831682
019D_06617_131313,20200725, 83.7817778, 23.8110555
020A_04368_131313,20200103,-114.1480000, 46.3170555
020A_04566_131313,20190508,-113.6403333, 44.3337222
020A_04765_131313,20190414,-113.1577222, 42.3487778
020A_04964_131313,20200315,-112.6843333, 40.3611666
020A_05163_131313,20190508,-112.2308333, 38.3724444
020A_05362_131313,20190508,-111.7870000, 36.3818889
020A_06395_071312,20200725,-109.6351667, 26.1648889
020A_06625_120500,20200619,-109.5468889, 23.9426666
020D_04935_131313,20160902, 62.7082206, 40.6234998
020D_05135_131313,20160902, 62.2547778, 38.6350575
020D_05334_131313,20160902, 61.7974428, 36.6462798
020D_05533_131313,20160902, 61.3582778, 34.6567236
020D_05732_131313,20160902, 60.9143319, 32.6637220
020D_05931_131313,20160902, 60.5066093, 30.6720026
020D_06130_131313,20160902, 60.0878885, 28.6770568
020D_06330_131313,20160902, 59.6687218, 26.6811115
020D_06446_030303,20160902, 59.4292764, 25.5170005
021D_04423_131313,20160902, 39.2661671, 45.7431140
021D_04564_090603,20160902, 38.8516664, 44.1472232
021D_04972_131213,20160902, 37.9328312, 40.2821681
021D_05168_131313,20160902, 37.4665561, 38.2947775
021D_05367_131313,20160902, 37.0271661, 36.3051113
021D_05566_131313,20160902, 36.5929417, 34.3128349
021D_05765_131313,20201222, 36.1598333, 32.3220000
021D_05965_131313,20201222, 35.7395000, 30.3283333
021D_07147_131313,20170307, 33.3443333, 18.5127778
021D_08954_121313,20170307, 29.6552778, 0.4679444
021D_09150_131313,20170325, 29.2252222, -1.5296111
022A_10918_110700,20190619,-174.3200556, -19.2227778
022D_04389_141313,20160902, 14.6530540, 46.0652800
022D_04617_161617,20160902, 14.0992205, 43.8305581
022D_04826_121209,20160902, 13.5581095, 41.6251677
022D_05265_072009,20160902, 12.5542763, 37.2045553
023A_13470_171714,20200327, 170.1039445, -44.7166111
023D_06184_131002,20170307, -14.0946111, 28.0905555
024A_04527_060503,20190508, 147.5268889, 44.6573889
024A_09137_111312,20200731, 132.5437222, -1.3960556
024D_12381_001013,20200725, -53.7328889, -33.8009445
025A_09718_120810,20190502, 109.0876667, -7.0432778
025D_07180_070505,20191029, -65.4492222, 18.2160000
025D_09867_131313,20200719, -71.0760555, -8.6820556
025D_10066_131313,20200725, -71.5530555, -10.6714445
025D_10464_131313,20170307, -72.5310555, -14.6521111
025D_10613_090705,20170307, -72.9006667, -16.2565000
026A_04929_131313,20160902, 99.0832206, 40.7086687
026A_05128_131313,20160902, 99.5643906, 38.7222795
026A_05327_131313,20160902, 100.0238897, 36.7340004
026A_05526_131313,20160902, 100.4632740, 34.7433342
026A_05725_131313,20160902, 100.8957210, 32.7522233
026A_05924_131313,20160902, 101.2991094, 30.7586131
026A_06124_131313,20160902, 101.7314453, 28.7615572
026A_06324_131313,20160902, 102.1325573, 26.7650019
026A_06524_131313,20160902, 102.5349441, 24.7695566
026A_06723_131313,20201023, 102.9269444, 22.7702222
026D_07514_131212,20170301, -90.8235000, 14.8468889
027A_04790_141413,20200402, 74.0763889, 42.0985555
027A_04994_131313,20160902, 74.5449396, 40.0619442
027A_05194_131313,20160902, 75.0404990, 38.0730564
027A_05393_131313,20160902, 75.4976680, 36.0807242
027A_05591_131313,20160902, 75.9294464, 34.0877781
027A_05791_131313,20160902, 76.3204970, 32.0963904
027A_05990_131313,20160902, 76.7264471, 30.1005560
027A_06190_131313,20160902, 77.1438353, 28.1050571
027D_05524_131313,20170301,-111.4385000, 34.7380000
027D_06303_130908,20170301,-113.1193333, 26.7088333
028A_04935_121308,20200321, 49.7025556, 40.7289444
028A_05385_191813,20191228, 50.7041667, 36.3085000
028A_05618_131313,20191228, 51.2609444, 33.8199444
028A_05817_131313,20160902, 51.6991099, 31.8276122
028A_06017_131313,20160902, 52.1027210, 29.8329455
028A_06197_071312,20160902, 52.5088321, 27.8391122
028A_06216_081316,20200402, 52.5598333, 27.6171111
028A_10117_131313,20200601, 35.9617222, -11.1637778
029A_04783_131313,20160902, 24.6943319, 42.1818344
029A_04977_131113,20160902, 25.1562208, 40.1934455
029A_05182_131413,20160902, 25.6170542, 38.1757233
029A_05389_141412,20160902, 26.0873320, 36.0738344
030A_08221_141414,20191228, 7.1886667, 7.7947222
030A_08422_111410,20191228, 7.6327222, 5.6282222
031D_04327_000105,20170301, 152.0239445, 46.6316667
032A_10444_131313,20200725, -61.9932778, -14.4335556
032A_10643_131313,20200725, -61.5083889, -16.4240000
032A_10842_131313,20200725, -61.0112222, -18.4127222
032A_11040_131313,20200725, -60.5036111, -20.4009445
032D_07333_131313,20170301, 121.4268889, 16.6611667
032D_07536_111313,20170301, 121.0250000, 14.6625555
032D_07741_141414,20200719, 120.5956667, 12.5816666
032D_09854_070505,20170313, 116.1849445, -8.4352778
033D_04907_131313,20201210, 101.8565000, 40.9126667
033D_05106_131313,20160914, 101.3709986, 38.9283900
033D_05304_131313,20160914, 100.9176098, 36.9403900
033D_05503_131313,20160914, 100.4726098, 34.9512789
033D_05702_131313,20160914, 100.0287210, 32.9608900
033D_05902_131313,20160914, 99.6066655, 30.9673344
033D_06101_131313,20160914, 99.1923321, 28.9733344
033D_06301_131313,20160902, 98.7711100, 26.7512231
033D_06500_131313,20160902, 98.4086656, 24.9743900
033D_06701_131313,20160902, 97.9983878, 22.9769455
033D_08463_080000,20200719, 95.2046111, 5.3675000
034A_07163_050202,20200403, -93.6882222, 18.4797222
034A_07267_181414,20200614, -93.4723889, 17.3970555
034A_07280_131313,20190503, -93.4320000, 17.2059444
034A_07467_001015,20200614, -92.6003889, 15.1760555
034A_07541_000305,20200403, -92.4763889, 14.5642778
034D_04913_131313,20160915, 77.1016653, 40.8458900
034D_05112_131313,20160915, 76.6616097, 38.8593900
034D_05310_131313,20160915, 76.2181098, 36.8767789
034D_05509_131313,20160915, 75.7441098, 34.8841122
034D_05709_131313,20160915, 75.3426099, 32.8859455
034D_05909_131313,20160915, 74.9442210, 30.8899455
034D_06109_131313,20160915, 74.6838322, 29.6984448
035A_03520_131313,20190509,-126.8071111, 54.8062778
035A_03915_131313,20190509,-125.6627222, 50.8467222
