,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm4,vel4,podoff4
173,020A_04765_131313,2019-04-14,-113.1577,42.3488,-10.0278,13.9536,2.3296,39.5386,880425.8435,1:27:14.418311,B,A,28.507084484805667,-23.53697114405265,28.507084484805667
176,020A_05362_131313,2019-05-08,-111.787,36.3819,-10.1282,13.9686,2.3296,39.6676,880425.8435,1:25:36.075938,B,A,-3.6016892465208814,-0.9705674724066189,-3.6016892465208814
179,020D_04935_131313,2016-09-02,62.7082,40.6235,-169.9282,13.9506,2.3296,33.6153,879026.5497,1:54:37.918091,A,D,0.0,-14.102834124415592,34.43290427140869
180,020D_05135_131313,2016-09-02,62.2548,38.6351,-169.894,13.9543,2.3296,33.659,879026.5497,1:55:11.020769,A,D,0.0,-13.901763882000788,54.69120913302073
181,020D_05334_131313,2016-09-02,61.7974,36.6463,-169.8581,13.962,2.3296,33.7382,879026.5497,1:55:44.113170,A,D,0.0,4.029015674848076,110.5042318915721
182,020D_05533_131313,2016-09-02,61.3583,34.6567,-169.8073,13.9663,2.3296,33.7757,879027.7145,1:56:17.212766,A,D,0.0,-13.024344641680036,35.26473832186878
183,020D_05732_131313,2016-09-02,60.9143,32.6637,-169.7545,13.9709,2.3296,33.8117,879027.7145,1:56:50.310305,A,D,0.0,-21.22175328892708,28.930387273447508
189,021D_04423_131313,2016-09-02,39.2662,45.7431,-169.9461,13.938,2.3296,33.5937,879865.6912,3:31:57.213291,A,D,54.34766839858661,-12.296208841828967,37.61642186383977
190,021D_04564_090603,2016-09-02,38.8517,44.1472,-169.9616,13.9415,2.3296,33.6373,879865.6912,3:32:23.821438,A,D,52.951455850358066,-18.993023730076914,39.20746986008732
194,021D_05566_131313,2016-09-02,36.5929,34.3128,-169.7986,13.9688,2.3296,33.9175,879868.0207,3:35:07.529026,A,D,53.09717984518028,-38.10653981121456,23.71387587687725
