,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm_prepost,s1ab_offset_mm,s1ab_offset_mm2,vel2,podoff,s1ab_offset_mm3,vel3,podoff3,s1ab_offset_mm_ok,count
1024,106D_05646_131313,2016-09-19,98.0893,33.5233,-169.798,13.9764,2.3296,33.8079,878978.96,23:28:30.085076,A,D,,25.65268921907635,25.652689219076347,-2.8901253116403143,-14.019173765957522,13.185613419231942,-8.751944751877561,-1.3484674129780772,13.1856134192319,117
1027,106D_06244_131313,2016-09-07,96.8631,27.5327,-169.5622,13.9903,2.3296,33.8179,877985.901,23:30:08.854131,A,D,,18.81668492810866,18.7577957312025,23.05335511503819,32.0873553342742,1.7288490813809334,15.05601262072524,16.141633136908123,11.607416846712177,129
1052,108D_05585_121313,2016-09-20,48.899,34.1596,-169.795,13.9718,2.3296,33.8431,879321.4056,2:45:48.659844,A,D,-7.2562048840019955,48.368783609179154,47.81189362563223,-25.712678662872147,44.94670016737335,47.55106957376177,-25.93901169211664,44.723150120201126,48.00546478766478,244
1053,108D_05781_131313,2016-09-20,48.4605,32.163,-169.7374,13.976,2.3296,33.8776,879321.4056,2:46:21.758412,A,D,-8.791075672600215,48.48220144089318,48.048048759022016,-33.023749308582865,44.328532414386224,47.66615499653013,-30.76212916019133,48.13340933515475,48.31742199486838,215
1055,109D_05155_171613,2016-09-08,25.1685,38.4589,-169.8978,13.9559,2.3296,33.8469,880225.2757,4:23:21.168381,A,D,-25.92059276660797,41.3567737815507,39.47130308086288,22.86797131682836,65.51087266978556,44.52024843162023,14.240119847852123,50.61601730220047,44.7670798172129,178
1063,112A_05300_030808,2019-05-14,136.9661,37.0119,-10.1285,13.9642,2.3296,39.5232,879088.675,8:50:07.427501,B,A,-21.92954343708569,42.56000500211721,34.34760095464882,-6.221662078643177,60.92954343708564,23.919445986319467,-8.231896927385831,56.1955190685125,28.367396956248776,133
1064,112A_05454_131213,2017-10-27,137.3081,35.4373,-10.172,13.9681,2.3296,39.5527,879088.675,8:49:35.822585,B,A,8.998446722129238,36.28609620687529,38.888707057366624,-4.536007715567751,30.001553277870773,40.06307076171164,-6.184199821242472,26.538139519567906,37.51688230070886,142
1104,114A_06191_131313,2016-09-08,89.5369,28.0998,-10.3983,13.9913,2.3296,33.9913,879257.8419,12:05:38.429484,A,A,,37.77288415941569,12.58363156953644,70.48431044664798,142.31476046836036,20.218157159705182,24.157278115893867,73.03769493911877,27.299176942382164,123
1105,114A_06391_131313,2020-03-15,89.9185,26.1033,-10.4951,13.9934,2.3296,39.7025,879215.7433,12:05:21.612118,A,A,,36.96899781360231,14.457727770986253,33.48117294955329,97.46714694342961,14.457727770986253,33.48117294955329,97.46714694342961,36.96899781360231,93
1127,116A_05167_121313,2016-09-08,37.9173,38.3317,-10.1046,13.9629,2.3296,33.7806,879319.9081,15:25:57.754256,A,A,,24.997857730526174,25.11193863206038,47.65387865499504,68.10457777231362,25.11193863206038,47.65387865499504,68.10457777231362,24.997857730526174,96
1131,116A_07783_141305,2019-05-02,43.3412,12.1632,-11.1999,14.0248,2.3296,39.6981,878036.0456,15:18:13.502142,B,A,,-51.77864995265013,-51.778649952650156,-10.776547342257528,45.98312938935258,10.122792769257156,7.737213556807151,-23.495476049298723,10.122792769257188,102
1147,119D_05525_040809,2017-09-03,137.4363,34.6058,-169.8143,13.9697,2.3296,39.5939,879115.2394,20:51:56.477003,A,D,,19.36784815167303,6.774090963548139,0.380002537379392,-11.966802213279635,6.064289688222576,1.7505093302121155,-9.141594006861155,15.126918266732657,158
1176,121D_06267_131313,2016-09-21,86.5066,27.3027,-169.5649,13.9932,2.3296,33.97,879198.9373,0:11:21.867568,A,D,,94.9661151971849,44.99088728006672,139.43572647107825,284.4623896716658,35.31310926962128,-29.42269970991776,33.81031499630864,34.54715110781827,119
1198,123D_04534_131313,2016-09-09,41.0477,44.6406,-169.948,13.94,2.3296,33.5898,879671.6719,3:24:02.281387,A,D,32.309699977264245,40.520343852501476,39.64727321508207,-21.77569604842376,7.685128703540271,35.854169802325025,-31.36763657935131,-4.1021348795921515,38.30860211252158,138
1199,123D_04674_090603,2016-09-09,40.6121,42.9833,-169.9655,13.9497,2.3296,33.6759,879671.6719,3:24:29.855648,A,D,28.629709225729556,51.16580233369708,51.919755123689896,-28.48059002495819,10.78846359789673,51.265729257615774,-20.215615655260752,21.98603289276736,51.14269132377173,152
1202,123D_05293_121313,2016-09-09,39.252,37.044,-169.8677,13.9602,2.3296,33.7986,879671.6719,3:26:08.755655,A,D,,48.282724766282314,48.282724766282314,-37.452419672195035,24.50948805554133,48.282724766282314,-37.452419672195035,24.50948805554133,48.282724766282314,89
1210,124A_03521_060410,2019-10-30,-163.8539,54.9046,-10.3023,13.9198,2.3296,39.3191,881364.99,4:40:08.324464,B,A,-119.78012131351106,34.087393334138824,-12.435927353099672,-3.313695957041825,158.78012131351105,-17.589448192977308,-1.2015207761655928,163.46583646931967,14.920982817618087,101
1212,124D_04017_131313,2016-09-09,17.6989,49.8025,-169.8837,13.927,2.3296,33.5236,880393.0042,5:01:20.658065,A,D,-20.876037311597862,44.40277948602565,44.428482245891566,-22.51534007903151,43.48556856742432,44.428482245891566,-22.51534007903151,43.48556856742432,44.40277948602565,165
1218,124D_05291_081406,2016-09-09,14.5166,36.8408,-169.8638,13.9596,2.3296,33.9071,880391.8394,5:04:56.714505,A,D,-2.7938406391161834,24.89548126008661,24.37275379719837,-39.88070254994037,17.784844059476857,24.37275379719837,-39.88070254994037,17.784844059476857,24.89548126008661,108
1222,125A_13317_141516,2019-12-29,171.5033,-43.2883,-18.0189,14.0666,2.3296,38.7351,885963.5456,7:30:19.613196,B,A,,35.15444409941933,35.15444409941936,41.60404683834682,-106.1073119065117,37.94664617362685,42.215775433301296,-108.68694238621767,37.94664617362695,99
1227,127A_09749_121312,2019-05-03,111.2442,-7.4818,-12.5318,14.0554,2.3296,39.4802,878657.3732,10:57:42.772715,B,A,37.34984477986406,7.764412596826888,9.941071726385124,-48.53460310826834,2.5517802602223525,13.840929523335017,-34.46055743781142,26.269002288192564,13.372782443044024,264
1237,128A_05969_131313,2016-09-09,103.4422,30.3169,-10.3289,13.9877,2.3296,33.8898,878719.5467,11:08:39.222742,A,A,,145.67488041613274,126.14353558445073,103.28505547656782,273.86644245375106,43.58332563046644,-9.468300046760346,48.959596689091676,43.623783813874276,157
1248,128D_09016_110500,2017-03-08,-91.2565,-0.1154,-168.0465,14.0434,2.3296,33.8573,851154.1723,11:50:02.954691,A,D,7.141126787835564,32.66838203328275,34.60428022951604,-28.487445714338925,11.48688269940056,35.193345743151944,-32.57221998632868,5.715174373682541,32.69350257935773,193
