frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time
012A_05443_131313,20160901.0000,85.9057,35.5747,-10.1320,13.9778,2.3296,33.8404,879291.6205,12:15:55.837878
012A_05642_131313,20160901.0000,86.3398,33.5828,-10.1901,13.9812,2.3296,33.8758,879289.2910,12:15:22.734172
012A_05841_131313,20160901.0000,86.7692,31.5910,-10.2547,13.9893,2.3296,33.9412,879291.6205,12:14:49.634577
012A_06041_131313,20160901.0000,87.1834,29.5976,-10.3311,13.9938,2.3296,33.9707,879289.2910,12:14:16.536009
012A_06241_131313,20160901.0000,87.5761,27.5961,-10.4216,13.9893,2.3296,33.9994,879291.6205,12:13:43.440525
012A_06441_131313,20160901.0000,87.9311,25.6812,-10.5201,13.9913,2.3296,34.0269,879291.6205,12:13:11.722263
012D_06936_131313,20170312.0000,-104.0796,20.6201,-169.2484,14.0039,2.3296,33.9190,878136.6569,12:50:10.847289
012D_06978_201716,20200612.0000,-104.1831,20.0968,-169.2232,14.0039,2.3296,39.6780,878137.8217,12:50:42.809153
012D_07075_080504,20170312.0000,-104.3856,19.0958,-169.1718,14.0087,2.3296,33.9497,878136.6569,12:50:36.073075
013A_05000_131313,20160901.0000,60.1548,39.9992,-10.0816,13.9580,2.3296,33.7683,879595.4620,13:55:54.254090
013A_05199_131313,20160901.0000,60.6121,38.0125,-10.1145,13.9623,2.3296,33.8104,879593.1325,13:55:21.155522
013A_05398_131313,20160901.0000,61.0752,36.0482,-10.1446,13.9676,2.3296,33.8529,879595.4620,13:54:48.485538
013A_05597_131313,20160901.0000,60.8923,34.9963,-10.4093,13.9676,2.3296,33.8529,852810.1581,13:54:31.933171
013A_05797_131313,20160913.0000,61.9139,32.0353,-10.2806,13.9812,2.3296,33.8197,878458.8021,13:53:42.460677
013A_05996_131313,20160913.0000,62.3332,30.0433,-10.3512,13.9861,2.3296,33.8498,878457.6373,13:53:09.365192
013A_06196_131313,20160913.0000,62.7562,28.0490,-10.4238,13.9901,2.3296,33.8791,878457.6373,13:52:36.264569
013A_06392_121313,20160913.0000,63.1643,26.2028,-10.4880,13.9919,2.3296,33.9070,878457.6373,13:52:03.166002
013D_03885_131313,20170306.0000,-121.8593,51.1307,-169.8725,13.9262,2.3296,33.5909,881209.7412,14:19:45.979325
013D_04083_131313,20170306.0000,-122.4044,49.1501,-169.9265,13.9321,2.3296,33.6814,881208.5764,14:20:19.093309
