,count,opass,centroid_lon,centroid_lat,VEL_N_noTI,VEL_E_noTI,RMSE_VEL_N_noTI,RMSE_VEL_E_noTI,VEL_N_noT,VEL_E_noT,RMSE_VEL_N_noT,RMSE_VEL_E_noT,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N
68,3,"['D', 'A', 'D']",63.43369999999999,34.2049,1.3650132522549232,69.38946133759066,1.347138973284908,7.496234099898398,4.912402667055201,53.43236483700491,1.224321010389702,6.813736832398915,5.040000000000001,28.5832,0.0346073209981161,0.202072594216369
69,3,"['D', 'D', 'A']",63.43369999999999,36.4549,2.9064468841951,26.812315894163955,1.246693732582098,6.982656988949952,5.532201936696171,17.13861455819769,1.1624235460564043,6.510661079171893,5.0396,28.5524,0.0415611998543515,0.2015043423849719
70,2,"['D', 'A']",63.43369999999999,38.7049,3.3782642570118213,35.57126984619636,1.5850760943624078,8.911833691782673,5.074756301138525,24.76529226751664,1.5475099924142244,8.700330565041082,5.038,28.4812,0.0495244047583276,0.1992067602601208
71,4,"['D', 'D', 'A', 'D']",65.68369999999999,25.2049,15.05051356639847,42.20459367665735,1.7896259585169698,9.650952641627814,18.936510659245226,20.9732965373044,1.6768552090368125,9.042982016091978,25.181200000000004,33.35999999999999,3.206924799035155,13.15740961081119
72,2,"['D', 'A']",65.68369999999999,27.4549,2.807501840945257,37.63849469805693,1.6791167879753095,9.146517707658203,9.15643686889822,4.69908801367258,1.7031202801469163,9.277730817374,13.5528,30.047200000000004,2.353308876171309,13.41416649168582
73,3,"['D', 'A', 'A']",65.68369999999999,29.7049,5.798153653779009,40.577836703312585,1.3471668059874808,7.405337147685845,11.184967920692731,13.764972095833771,1.2718361120419637,6.991243529184359,12.418,29.6412,1.7354618021341377,12.921348936288863
74,2,"['D', 'A']",65.68369999999999,31.9549,4.924329602871311,49.85212376908932,2.129301298678471,11.808902360820232,9.298778473422896,26.371484551578146,2.033190767390901,11.27790684160653,5.574,28.7768,0.5640975093013618,5.6649713150200505
75,3,"['A', 'D', 'D']",65.68369999999999,34.2049,7.415812138061251,59.00353231480891,1.4003070840567589,7.803773995413062,11.611632675827202,38.13636060661548,1.322121129697233,7.367093352353936,4.43,28.684,0.0314907393794851,0.2020725942163689
76,3,"['A', 'A', 'D']",65.68369999999999,36.4549,4.3762730134149646,56.343379104602654,1.1648886629973907,6.525563878968214,7.375599461113285,45.045610628829735,1.1382837982749474,6.376088296563959,4.43,28.66,0.036514837167011,0.2020725942163689
77,2,"['A', 'D']",65.68369999999999,38.7049,2.142781830967015,54.98113323305355,2.65035352156765,14.906288277893465,3.4734531479509214,52.9135894201416,2.5994016201743158,14.619726577860948,4.43,28.5944,0.0450074067978445,0.2020725942163689
