frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,slope_plates_vel_azi_itrf2014,slope_daz_mm_mmyear,daz_mm_RMSE_selection,daz_mm_count_selection,intercept_daz_mm_mmyear,daz_mm_RMSE_mmy_full,daz_mm_notide_RMSE_selection,daz_mm_notide_count_selection,slope_daz_mm_notide_mmyear,intercept_daz_mm_notide_mmyear,daz_mm_notide_RMSE_mmy_full,daz_mm_notide_noiono_grad_RMSE_selection,daz_mm_notide_noiono_grad_count_selection,slope_daz_mm_notide_noiono_grad_mmyear,intercept_daz_mm_notide_noiono_grad_mmyear,daz_mm_notide_noiono_grad_RMSE_mmy_full
006D_07662_000004,20200718,41.778,13.3753,-169.0376,13.9819,2.3296,43.9551,928757.0458,3:00:11.117576,A,-6.770447469237656,-35.678642188219705,13.292581356242474,104,198.68131821993347,1.2525566446460128,15.327530832157008,119,-36.26986387447183,258.2827360768155,1.04852337159521,13.93157567932812,109,-37.37809052855605,247.23861741310705,1.0838178974186148
006D_07728_131313,20181126,42.4558,12.6963,-168.8285,14.0187,2.3296,39.6497,877715.1726,3:00:10.224353,A,-8.226862851026086,-18.420565077341774,26.87809819426804,65,48.454727177511685,13.94799037875254,23.316428649075963,65,-17.63893935339859,-17.258600648924435,13.664289620711406,26.33742667903912,69,-16.76318194491074,-13.44290048911774,13.36505285934454
006D_07929_131313,20181114,42.0477,10.6972,-168.7144,14.0246,2.3296,39.6456,877716.3374,3:00:43.746546,A,0.0,-26.53293344497864,24.44485327326589,71,158.05882204786502,3.744510502683138,22.225327731829346,70,-25.987452629371205,160.10757110567545,3.7758724556749854,23.439433918484838,73,-25.3652273824632,175.27428289093848,3.742880904410115
006D_08129_131313,20181126,41.6372,8.6994,-168.5974,14.0298,2.3296,39.6369,877716.3374,3:01:16.425598,A,0.0,-29.699670958561345,21.166820328714604,100,139.8209545014694,3.0210349540479995,19.9073851972346,107,-30.03808351431505,132.78137525522249,2.98731580721196,17.467153110154097,97,-28.2864994354253,139.97166020195408,3.006611735674059
006D_08328_131313,20181126,41.2271,6.7007,-168.4752,14.0319,2.3296,39.6231,877716.3374,3:01:49.526221,A,0.0,-24.96096404699592,20.65910036318909,92,103.81341679908104,5.623390604107272,18.398339506326717,90,-24.059687123279144,66.97613193999379,5.228145425675751,20.01109553314092,93,-21.73039062319145,65.88506457384399,5.357684461022861
006D_08529_131313,20181126,40.8275,4.6986,-168.3476,14.0362,2.3296,39.6044,877716.3374,3:02:22.624788,A,0.0,-32.259458136569215,71.06193748017981,40,227.2482748529916,15.47368303628586,78.69307999161742,41,-32.244789321491176,288.16858739147847,15.505555362358624,77.85863697671752,41,-31.942751528070243,288.344425831824,15.468310541616232
007A_03294_131613,20200501,-156.3208,56.9429,-10.4814,13.9163,2.3296,39.3308,881967.8473,4:07:45.970513,B,-18.205204404041844,-8.300225399701853,24.24716587118861,59,22.497786745671117,3.1768787018918254,23.161784509638267,55,-9.638087947557633,-6.156673396862955,3.1420994409237992,23.96042689694562,56,-10.724316428909328,-0.5120647249172263,3.827581557371894
007D_04296_131313,20181126,25.1723,47.0165,-169.9462,13.9352,2.3296,39.3773,880236.9235,4:29:24.896523,A,-17.579801058649338,2.54417397246892,191.84852562600875,21,-174.48876104981747,181.72580419310813,193.33215271213635,21,2.4772061817474613,-337.3807454417218,181.9445044210891,194.30119032719253,21,2.482899530260444,-335.8508359983952,181.8691357983099
007D_04494_131313,20181126,24.6644,45.0327,-169.9627,13.9399,2.3296,39.4252,880236.9235,4:29:57.993035,A,-17.69908091797602,2.2782193371358104,45.22499912235385,16,-428.0670049097829,87.25100019021102,38.3530643960323,16,2.296694914571993,-858.1437405936894,84.42687876086175,37.52064942880728,16,2.303192251348486,-855.2017210898942,84.07423291163589
007D_04692_131313,20181126,24.1725,43.0478,-169.9631,13.9459,2.3296,39.4724,880238.0883,4:30:31.093658,A,-17.825089770192683,-18.148179511353447,26.25976233770233,89,34.62297173279518,4.315167519047538,23.13033205755367,82,-17.479128850765367,-25.31637739884152,4.184707966918653,24.17464255783178,86,-17.237938050186578,-24.13724736049111,4.162490381306962
